#node time(s) x y
0 2.375 324.011 321.633
1 2.376 327.342 181.976
2 2.377 186.854 168.627
0 2.389 324.730 322.329
1 2.391 328.093 181.316
2 2.391 186.241 167.837
0 2.404 325.448 323.024
1 2.405 328.844 180.655
2 2.406 185.628 167.047
0 2.418 326.167 323.720
1 2.419 329.595 179.995
2 2.420 185.015 166.257
0 2.436 326.885 324.415
1 2.438 330.346 179.335
2 2.439 184.402 165.467
0 2.451 327.604 325.111
1 2.452 331.096 178.674
2 2.453 183.789 164.677
0 2.466 328.323 325.806
1 2.467 331.847 178.014
2 2.468 183.176 163.886
0 2.479 329.041 326.502
1 2.481 332.598 177.353
2 2.482 182.563 163.096
0 2.494 329.760 327.197
1 2.496 333.349 176.693
2 2.498 181.950 162.306
0 2.509 330.478 327.893
1 2.510 334.100 176.033
2 2.512 181.337 161.516
0 2.527 331.197 328.588
1 2.528 334.851 175.372
2 2.528 180.724 160.726
0 2.542 331.915 329.284
1 2.544 335.602 174.712
2 2.545 180.111 159.936
0 2.556 332.634 329.979
1 2.557 336.353 174.051
2 2.558 179.498 159.146
0 2.572 333.352 330.674
1 2.573 337.104 173.391
2 2.574 178.884 158.356
0 2.587 334.071 331.370
1 2.588 337.854 172.730
2 2.588 178.271 157.566
0 2.601 334.790 332.065
1 2.602 338.605 172.070
2 2.603 177.658 156.776
0 2.615 335.508 332.761
1 2.616 339.356 171.410
2 2.617 177.045 155.986
0 2.631 336.227 333.456
1 2.632 340.107 170.749
2 2.633 176.432 155.196
0 2.645 336.945 334.152
1 2.646 340.858 170.089
2 2.646 175.819 154.406
0 2.658 337.664 334.847
1 2.660 341.609 169.428
2 2.661 175.206 153.616
0 2.673 338.382 335.543
1 2.674 342.360 168.768
2 2.675 174.593 152.826
0 2.687 339.101 336.238
1 2.688 343.111 168.107
2 2.689 173.980 152.036
0 2.702 339.819 336.934
1 2.703 343.862 167.447
2 2.704 173.367 151.246
0 2.715 340.538 337.629
1 2.716 344.613 166.787
2 2.717 172.754 150.456
0 2.729 341.257 338.325
1 2.731 345.363 166.126
2 2.732 172.141 149.666
0 2.743 341.975 339.020
1 2.744 346.114 165.466
2 2.746 171.528 148.876
0 2.757 342.694 339.716
1 2.758 346.865 164.805
2 2.759 170.915 148.086
0 2.773 343.412 340.411
1 2.775 347.616 164.145
2 2.776 170.302 147.296
0 2.789 344.131 341.107
1 2.792 348.367 163.484
2 2.793 169.688 146.506
0 2.805 344.849 341.802
1 2.807 349.118 162.824
2 2.808 169.075 145.716
0 2.822 345.568 342.497
1 2.824 349.869 162.164
2 2.825 168.462 144.926
0 2.838 346.286 343.193
1 2.841 350.620 161.503
2 2.842 167.849 144.136
0 2.856 347.005 343.888
1 2.857 351.371 160.843
2 2.858 167.236 143.346
0 2.871 347.724 344.584
1 2.872 352.121 160.182
2 2.874 166.623 142.556
0 2.887 348.442 345.279
1 2.889 352.872 159.522
2 2.890 166.010 141.766
0 2.903 349.161 345.975
1 2.904 353.623 158.861
2 2.905 165.397 140.976
0 2.916 349.879 346.670
1 2.917 354.374 158.201
2 2.918 164.784 140.185
0 2.929 350.598 347.366
1 2.930 355.125 157.541
2 2.931 164.171 139.395
0 2.942 351.316 348.061
1 2.943 355.876 156.880
2 2.944 163.558 138.605
0 2.957 352.035 348.757
1 2.958 356.627 156.220
2 2.959 162.945 137.815
0 2.973 352.753 349.452
1 2.974 357.378 155.559
2 2.975 162.332 137.025
0 2.988 353.472 350.148
1 2.990 358.129 154.899
2 2.991 161.719 136.235
0 3.004 354.191 350.843
1 3.007 358.879 154.239
2 3.008 161.106 135.445
0 3.020 354.909 351.539
1 3.023 359.630 153.578
2 3.024 160.492 134.655
0 3.035 355.628 352.234
1 3.037 360.381 152.918
2 3.039 159.879 133.865
0 3.050 356.346 352.929
1 3.051 361.132 152.257
2 3.053 159.266 133.075
0 3.067 357.065 353.625
1 3.068 361.883 151.597
2 3.069 158.653 132.285
0 3.082 357.783 354.320
1 3.084 362.634 150.936
2 3.085 158.040 131.495
0 3.098 358.502 355.016
1 3.100 363.385 150.276
2 3.101 157.427 130.705
0 3.114 359.220 355.711
1 3.116 364.136 149.616
2 3.117 156.814 129.915
0 3.129 359.939 356.407
1 3.131 364.887 148.955
2 3.132 156.201 129.125
0 3.144 360.658 357.102
1 3.145 365.638 148.295
2 3.145 155.588 128.335
0 3.158 361.376 357.798
1 3.160 366.388 147.634
2 3.161 154.975 127.545
0 3.173 362.095 358.493
1 3.174 367.139 146.974
2 3.175 154.362 126.755
0 3.187 362.813 359.189
1 3.189 367.890 146.313
2 3.190 153.749 125.965
0 3.204 363.532 359.884
1 3.206 368.641 145.653
2 3.207 153.136 125.175
0 3.220 364.250 360.580
1 3.222 369.392 144.993
2 3.223 152.523 124.385
0 3.236 364.969 361.275
1 3.237 370.143 144.332
2 3.238 151.910 123.595
0 3.250 365.687 361.971
1 3.251 370.894 143.672
2 3.251 151.297 122.805
0 3.263 366.406 362.666
1 3.264 371.645 143.011
2 3.265 150.683 122.015
0 3.276 367.125 363.362
1 3.281 372.396 142.351
2 3.283 150.070 121.225
0 3.299 367.843 364.057
1 3.302 373.146 141.690
2 3.304 149.457 120.435
0 3.317 368.562 364.752
1 3.318 373.897 141.030
2 3.320 148.844 119.645
0 3.337 369.280 365.448
1 3.338 374.648 140.370
2 3.340 148.231 118.855
0 3.359 369.999 366.143
1 3.359 375.399 139.709
2 3.360 147.618 118.065
0 3.381 370.717 366.839
1 3.384 376.150 139.049
2 3.386 147.005 117.275
0 3.399 371.436 367.534
1 3.403 376.901 138.388
2 3.406 146.392 116.485
0 3.422 372.154 368.230
1 3.424 377.652 137.728
2 3.425 145.779 115.694
0 3.440 372.873 368.925
1 3.441 378.403 137.068
2 3.443 145.166 114.904
0 3.458 373.592 369.621
1 3.460 379.154 136.407
2 3.461 144.553 114.114
0 3.471 374.310 370.316
1 3.473 379.904 135.747
2 3.474 143.940 113.324
0 3.492 375.029 371.012
1 3.493 380.655 135.086
2 3.494 143.327 112.534
0 3.507 375.747 371.707
1 3.509 381.406 134.426
2 3.511 142.714 111.744
0 3.525 376.466 372.403
1 3.526 382.157 133.765
2 3.528 142.101 110.954
0 3.541 377.184 373.098
1 3.542 382.908 133.105
2 3.543 141.487 110.164
0 3.556 377.903 373.794
1 3.557 383.659 132.445
2 3.558 140.874 109.374
0 3.571 378.621 374.489
1 3.572 384.410 131.784
2 3.573 140.261 108.584
0 3.587 379.340 375.185
1 3.588 385.161 131.124
2 3.588 139.648 107.794
0 3.602 380.059 375.880
1 3.602 385.912 130.463
2 3.603 139.035 107.004
0 3.615 380.777 376.575
